"","species","plot","endo_01","id","original","endo_status_from_check","birth","year_t","age","size_t","flw_count_t","mean_spike_t","year_t1","surv_t1","size_t1","flw_count_t1","mean_spike_t1","dist_a","dist_b"
"11599","POAL",3,1,"3_164.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11600","POAL",3,1,"3_165",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11601","POAL",3,1,"3_165.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11602","POAL",3,1,"3_166",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11603","POAL",3,1,"3_166.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11604","POAL",3,1,"3_167.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11605","POAL",3,1,"3_168",0,NA,2010,2010,0,1,0,NA,2011,1,1,0,NA,NA,NA
"11606","POAL",3,1,"3_168",0,NA,2010,2011,1,1,0,NA,2012,1,5,2,62,NA,NA
"11607","POAL",3,1,"3_168",0,NA,2010,2012,2,5,2,62,2013,0,NA,NA,NA,NA,NA
"11608","POAL",3,1,"3_168.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11609","POAL",3,1,"3_169",0,NA,2010,2010,0,2,0,NA,2011,1,1,0,NA,NA,NA
"11610","POAL",3,1,"3_169",0,NA,2010,2011,1,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11611","POAL",3,1,"3_169.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11612","POAL",3,1,"3_17",0,NA,2009,2009,0,1,0,NA,2010,1,1,0,NA,NA,NA
"11613","POAL",3,1,"3_17",0,NA,2009,2010,1,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11614","POAL",3,1,"3_17.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11615","POAL",3,1,"3_170",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
